nom_hotel,url,marque
CAMPANILE VALENCIENNES OUEST - Petite Forêt,https://www.tripadvisor.fr/Hotel_Review-g661703-d488205-Reviews-Campanile_Valenciennes_Ouest_Petite_Foret-Petite_Foret_Nord_Hauts_de_France.html,CAMPANILE
CAMPANILE LILLE OUEST - Lomme,https://www.tripadvisor.fr/Hotel_Review-g656507-d488213-Reviews-Campanile_Lille_Ouest_Lomme-Lomme_Lille_Nord_Hauts_de_France.html,CAMPANILE
CAMPANILE DINAN - Taden,https://www.tripadvisor.fr/Hotel_Review-g661759-d488527-Reviews-Brit_Hotel_Dinan_Taden-Taden_Cotes_d_Armor_Brittany.html,CAMPANILE
CAMPANILE MONT DE MARSAN,https://www.tripadvisor.fr/Hotel_Review-g196513-d287126-Reviews-Campanile_Mont_De_Marsan-Mont_de_Marsan_Landes_Nouvelle_Aquitaine.html,CAMPANILE
CAMPANILE CLERMONT FERRAND NORD - Riom,https://www.tripadvisor.fr/Hotel_Review-g651701-d488540-Reviews-Campanile_Clermont_Ferrand_Nord_Riom-Riom_Puy_de_Dome_Auvergne_Rhone_Alpes.html,CAMPANILE
CAMPANILE AIX EN PROVENCE SUD - Pont de l'Arc,https://www.tripadvisor.fr/Hotel_Review-g187209-d287042-Reviews-Campanile_Hotel_Aix_En_Provence_Sud_Pont_De_L_arc-Aix_en_Provence_Bouches_du_Rhone_Prov.html,CAMPANILE
CAMPANILE PARIS - Clichy Centre,https://www.tripadvisor.fr/Hotel_Review-g608772-d14196263-Reviews-Campanile_Paris_Clichy_Centre-Clichy_Hauts_de_Seine_Ile_de_France.html,CAMPANILE
KYRIAD AIX LES MILLES - Plan de Campagne,https://www.tripadvisor.fr/Hotel_Review-g616119-d1841232-Reviews-Kyriad_Aix_Les_Milles_Plan_de_Campagne-Bouc_Bel_Air_Bouches_du_Rhone_Provence_Alpes_Co.html,KYRIAD
KYRIAD DIRECT HAGUENAU,https://www.tripadvisor.fr/Hotel_Review-g207336-d287137-Reviews-Kyriad_Direct_Haguenau-Haguenau_Bas_Rhin_Grand_Est.html,KYRIAD DIRECT
PREMIERE CLASSE CHARLEVILLE-MEZIERES,https://www.tripadvisor.fr/Hotel_Review-g661459-d1025196-Reviews-Premiere_Classe_Charleville_Mezieres-Charleville_Mezieres_Ardennes_Grand_Est.html,PREMIERE CLASSE
PREMIERE CLASSE EVREUX,https://www.tripadvisor.fr/Hotel_Review-g226883-d650647-Reviews-Premiere_Classe_Evreux-Evreux_Eure_Haute_Normandie_Normandy.html,PREMIERE CLASSE
PREMIERE CLASSE LILLE NORD - Tourcoing,https://www.tripadvisor.fr/Hotel_Review-g196638-d237924-Reviews-Premiere_Classe_Lille_Nord_Tourcoing-Tourcoing_Nord_Hauts_de_France.html,PREMIERE CLASSE
PREMIERE CLASSE EPINAL,https://www.tripadvisor.fr/Hotel_Review-g196613-d1014410-Reviews-Premiere_Classe_Epinal-Epinal_Vosges_Grand_Est.html,PREMIERE CLASSE
PREMIERE CLASSE NIORT EST - La Crèche,https://www.tripadvisor.fr/Hotel_Review-g661386-d635422-Reviews-Premiere_Classe_Niort_Est_La_Creche_Hotel-La_Creche_Deux_Sevres_Nouvelle_Aquitaine.html,PREMIERE CLASSE
CAMPANILE MARNE LA VALLEE - BUSSY ST GEORGES,https://www.tripadvisor.fr/Hotel_Review-g227611-d20967753-Reviews-Hotel_Campanile_Marne_La_Vallee_Bussy_Saint_Georges-Bussy_St_Georges_Marne_la_Vallee_.html,CAMPANILE
CAMPANILE METZ EST - Technopole,https://www.tripadvisor.fr/Hotel_Review-g187164-d287174-Reviews-Campanile_Metz_Est_Technopole-Metz_Moselle_Grand_Est.html,CAMPANILE
CAMPANILE COLMAR - Parc des Expositions,https://www.tripadvisor.fr/Hotel_Review-g187073-d287139-Reviews-HOTEL_CAMPANILE_COLMAR_Parc_Des_Expositions-Colmar_Haut_Rhin_Grand_Est.html,CAMPANILE
CAMPANILE TOULOUSE NORD - L'union,https://www.tripadvisor.fr/Hotel_Review-g661248-d488535-Reviews-Hotel_Campanile_Toulouse_Nord_L_Union-L_Union_Haute_Garonne_Occitanie.html,CAMPANILE
CAMPANILE AIX EN PROVENCE EST - Meyreuil,https://www.tripadvisor.fr/Hotel_Review-g661221-d488554-Reviews-Campanile_Aix_En_Provence_Meyreuil-Meyreuil_Aix_en_Provence_Bouches_du_Rhone_Provence_A.html,CAMPANILE
CAMPANILE LYON NORD - Ecully,https://www.tripadvisor.fr/Hotel_Review-g661468-d488601-Reviews-Campanile_Lyon_Nord_Ecully-Ecully_Rhone_Auvergne_Rhone_Alpes.html,CAMPANILE
